record_key,nest,nest_name,site_id,site_name,latitude,longitude,name_category,healthcare_name_screen,blood_eligibility,flight_route_id,road_route_id,road_min,drone_min,minutes_saved,reduction_pct,road_distance_m,flight_outbound_distance_m,road_time_class,drone_time_class,routing_status,matched_comparison,nest_snap_m,site_snap_m,access_review_required,contains_ferry,origin_lat,origin_lon,routing_engine,road_snapshot,flight_basis,geometry_scope,gap_class,coordinate_group_size,coordinate_group_keys,clean_comparison,long_road_short_drone,review_reasons
nest1:1,nest1,Muhanga,1,Kabgayi HSP,-2.104132108,29.751211932,hospital_label,True,unverified,06b0981c-8d14-4a44-8a4b-04f1173f8687,osm-car:nest1:1,6.488333333333333,5.35567565692965,1.1326576764036833,17.45683549556152,6681.7,9222.473481232857,le_15,le_15,Ok,True,79.98371383,39.85823855,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_15,1,,True,False,
nest1:3,nest1,Muhanga,3,Nyanza HSP,-2.352953287,29.749967987,hospital_label,True,unverified,ba4e8167-70cd-42de-bdb6-fe37ad197f10,osm-car:nest1:3,35.05833333333333,20.45187978005723,14.6064535532761,41.6632856285508,46302.0,35218.13698125855,le_60,le_30,Ok,True,79.98371383,50.86677644,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_15,1,,True,False,
nest1:4,nest1,Muhanga,4,Gitwe HSP,-2.246072249,29.689666108,hospital_label,True,unverified,1eab061a-da94-4878-8dcd-68bf81b18094,osm-car:nest1:4,34.901666666666664,14.90568357527099,19.995983091395672,57.29234446701401,31426.3,25667.587116616643,le_60,le_15,Ok,True,79.98371383,23.65237601,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_30,1,,True,False,
nest1:5,nest1,Muhanga,5,Kirinda HSP,-2.186086305,29.577981374,hospital_label,True,unverified,73016d9d-7944-492f-8a03-a04e29bd3a20,osm-car:nest1:5,57.11833333333333,15.635181954695732,41.4831513786376,72.62668386444096,52177.9,26923.78332598605,le_60,le_30,Ok,True,79.98371383,53.39803845,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_60,1,,True,False,
nest1:6,nest1,Muhanga,6,Muhororo HSP,-1.934897824,29.624872581,hospital_label,True,unverified,38d69925-d81c-4e5a-be54-fd3c6fc7cea1,osm-car:nest1:6,43.65333333333333,15.087361533367247,28.565971799966082,65.43823717157778,44037.0,25980.436560458398,le_60,le_30,Ok,True,79.98371383,37.80279007,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_30,1,,True,False,
nest1:7,nest1,Muhanga,7,Gakoma HSP,-2.482806903,29.919058618,hospital_label,True,unverified,ff4dc07b-82d1-4364-aca3-61cbcafe760a,osm-car:nest1:7,72.935,28.751611498585653,44.18338850141435,60.57913004924158,77557.4,49510.27500056449,le_120,le_30,Ok,True,79.98371383,48.82848155,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_60,1,,True,True,
nest1:8,nest1,Muhanga,8,Gikonko HC,-2.484232,29.855856,health_center_or_clinic_label,True,unverified,51310a18-4693-43a1-b99b-14aac389015c,osm-car:nest1:8,68.865,27.935929758266816,40.92907024173318,59.433776579878284,79879.9,48105.671043735456,le_120,le_30,Ok,True,79.98371383,25.78364655,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_60,1,,True,True,
nest1:9,nest1,Muhanga,9,Kaduha HSP,-2.332829081,29.526025598,hospital_label,True,unverified,9c0a5a4a-cf03-4677-ae9a-e3647595dd96,osm-car:nest1:9,81.90333333333334,24.060758554373173,57.84257477896016,70.62298007280147,59161.1,41432.6262306306,le_120,le_30,Ok,True,79.98371383,19.09180583,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_60,1,,True,True,
nest1:10,nest1,Muhanga,10,Nemba HSP,-1.637918992,29.786393793,hospital_label,True,unverified,9623c268-841b-4793-83a1-4201a00e17f7,osm-car:nest1:10,76.06,31.973970791404295,44.086029208595704,57.96217355850079,97807.1,55059.177702798195,le_120,le_60,Ok,True,79.98371383,60.69153766,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_60,1,,True,False,
nest1:11,nest1,Muhanga,11,Murunda HSP,-1.906132,29.372995,hospital_label,True,unverified,b8d1f2c3-ccc7-496d-a9f9-d19704f0a6e0,osm-car:nest1:11,70.65833333333333,33.55343694676067,37.10489638657266,52.51312143399834,89820.2,57779.018422321875,le_120,le_60,Ok,True,79.98371383,85.36270034,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_60,1,,True,False,
nest1:12,nest1,Muhanga,12,Kabaya HSP,-1.746660351,29.537651615,hospital_label,True,unverified,6d3799cc-1c46-4e09-8a05-780cb60267f2,osm-car:nest1:12,73.30666666666666,30.102809742283895,43.20385692438276,58.93578154472004,79508.1,51837.03837621286,le_120,le_60,Ok,True,79.98371383,54.16557165,False,False,-2.07958714,29.780160749999986,OSRM v26.9.0,2026-09-20T20:22:06Z,CSV mean across outbound route options / 28.7 m/s; not selected GeoJSON path,facility_point; routes supplied separately,saved_le_60,1,,True,False,
